,0
0,23.5241
1,36.338093
2,71.37868
3,73.65216
4,82.81382
5,86.94653
6,106.664986
7,74.48047
8,76.88603
9,91.49455
10,93.806145
11,100.96862
12,94.1638
13,90.84327
14,90.55698
15,49.910713
16,41.907215
17,52.629356
18,60.342194
19,44.09246
20,47.261055
21,25.902668
22,24.100677
23,30.196783
24,38.283836
25,108.264015
26,375.90845
27,363.6353
28,333.73303
29,287.62436
30,193.96169
31,146.74213
32,203.03891
33,223.85674
34,186.3001
35,204.03856
36,183.66731
37,176.965
38,224.40605
39,281.26132
40,279.11835
41,191.46944
42,127.8427
43,71.69612
44,58.928234
45,55.73873
46,35.99681
47,37.28146
48,50.1278
49,119.47728
50,360.8509
51,384.04123
52,320.4338
53,277.9282
54,258.29916
55,244.72879
56,183.08614
57,201.70306
58,227.06512
59,195.93515
60,159.73468
61,234.90492
62,252.48709
63,283.44424
64,263.19427
65,185.51622
66,112.82724
67,80.51335
68,69.69601
69,44.885647
70,30.53572
71,29.620348
72,51.724445
73,106.17923
74,259.44073
75,347.2922
76,354.70493
77,314.50586
78,249.57874
79,243.35553
80,255.0799
81,167.1782
82,188.53015
83,165.11151
84,197.66728
85,311.98788
86,281.67126
87,253.77977
88,235.0173
89,174.50905
90,110.931305
91,70.41596
92,58.367447
93,38.854073
94,23.091589
95,29.00416
96,49.94112
97,112.06791
98,329.65735
99,389.4365
100,361.35916
101,337.61475
102,290.1499
103,245.91586
104,210.27916
105,267.46313
106,254.66682
107,248.61653
108,246.71918
109,278.66968
110,288.77722
111,303.08844
112,229.38776
113,139.57263
114,124.28571
115,132.74467
116,77.02825
117,38.258434
118,37.02611
119,34.18356
120,55.405514
121,107.57962
122,348.27994
123,377.07132
124,368.97473
125,309.4391
126,243.55145
127,228.43729
128,264.21973
129,258.74774
130,243.85658
131,204.88947
132,251.46024
133,240.24413
134,237.50357
135,254.3626
136,274.3264
137,239.18411
138,157.11078
139,95.88942
140,57.402054
141,57.070168
142,43.66334
143,35.86104
144,33.76606
145,74.2959
146,160.64743
147,173.01227
