,0
0,22.424318
1,39.40657
2,49.966156
3,63.136986
4,71.12925
5,86.724075
6,109.092445
7,87.430145
8,76.1789
9,95.93584
10,89.93459
11,107.35746
12,90.21592
13,87.26305
14,88.99704
15,63.593544
16,50.43937
17,46.60278
18,51.509945
19,43.692547
20,36.679443
21,24.38968
22,22.572313
23,28.389486
24,53.11461
25,119.231895
26,354.07852
27,359.28018
28,332.8558
29,288.8353
30,189.82796
31,130.93196
32,205.60951
33,215.39673
34,179.18274
35,192.96092
36,183.24132
37,180.03131
38,228.34026
39,291.20428
40,279.26715
41,183.27165
42,126.41557
43,72.73127
44,55.30808
45,45.80908
46,34.356224
47,33.98116
48,56.690456
49,117.175476
50,349.66544
51,380.5694
52,327.97562
53,283.2271
54,256.93024
55,239.65427
56,183.89156
57,206.36961
58,220.97287
59,198.89435
60,157.19588
61,230.45705
62,251.88626
63,281.75143
64,253.71492
65,169.06966
66,109.56347
67,80.55718
68,62.911415
69,45.12955
70,29.620657
71,27.624836
72,56.05022
73,109.65254
74,275.49725
75,352.0918
76,351.1243
77,321.14554
78,248.13425
79,243.34236
80,249.19302
81,164.95595
82,191.71442
83,162.0591
84,190.06381
85,326.26083
86,285.64105
87,243.73232
88,228.9875
89,158.45311
90,109.58007
91,68.54303
92,56.60037
93,41.200092
94,29.17978
95,26.37424
96,55.516644
97,108.721436
98,337.62485
99,397.6985
100,358.16092
101,350.9854
102,289.68103
103,246.3089
104,203.06328
105,257.71683
106,240.35541
107,243.38226
108,248.60374
109,271.8091
110,297.73117
111,296.82263
112,216.03506
113,128.2117
114,126.88321
115,113.75516
116,89.735565
117,41.948147
118,37.399994
119,29.214535
120,61.7776
121,111.93771
122,334.1675
123,394.29007
124,358.03802
125,312.47723
126,244.33026
127,229.28188
128,263.083
129,259.67627
130,253.02805
131,207.55139
132,237.03186
133,233.78287
134,241.60501
135,244.62195
136,276.7904
137,244.27225
138,154.25615
139,103.391655
140,65.01858
141,47.241974
142,41.35786
143,28.632042
144,41.89613
145,77.46515
146,118.85595
147,182.50578
148,183.65862
149,168.76878
150,189.10959
151,181.26657
152,182.70735
153,173.51372
154,167.3919
155,159.46837
156,152.32199
157,177.47923
158,167.93164
159,166.00627
160,114.5508
161,80.31633
162,60.060066
163,46.661877
164,40.33138
165,33.658146
166,21.52954
167,22.48677
168,34.67826
169,45.548504
170,54.611492
171,65.3416
172,77.2974
173,84.136795
174,75.08037
175,72.955215
176,76.58491
177,67.98035
178,68.0263
179,71.89682
180,74.149086
181,77.08157
182,74.604836
183,68.89124
184,62.572094
185,54.964195
186,48.22414
187,46.89263
188,33.87151
189,26.859598
190,28.501987
191,22.041853
192,48.76931
193,125.7445
194,390.434
195,400.155
196,357.36615
197,275.9799
198,212.35904
199,224.83629
200,192.05804
201,205.76288
202,199.02124
203,140.79704
204,129.16609
205,150.7188
206,354.24176
207,284.1887
208,268.08478
209,171.5754
210,110.38322
211,74.47831
212,67.41237
213,35.85936
214,31.016855
215,32.49448
216,58.193928
217,113.22972
218,379.15585
219,406.00467
220,353.35507
221,297.83856
222,235.80086
223,275.09326
224,312.66217
225,235.2828
226,215.07916
227,185.67342
228,222.87518
229,280.25232
230,322.42545
231,309.92285
232,250.56693
233,165.76607
234,121.617966
235,90.372795
236,56.551956
237,41.066032
238,32.18429
239,31.250347
240,52.579533
241,103.3505
242,350.45566
243,399.0707
244,357.4769
245,331.88977
246,303.31952
247,270.80206
248,289.0911
249,285.47598
250,263.7919
251,231.3157
252,179.63417
253,295.42902
254,327.51474
255,305.28522
256,228.79477
