,0
0,299.2577
1,264.2735
2,274.5118
3,240.50156
4,197.40268
5,151.50491
6,80.87824
7,72.371635
8,33.879738
9,37.414234
10,52.32438
11,110.38712
12,317.78802
13,364.5146
14,385.672
15,339.96143
16,321.81357
17,301.51926
18,301.65784
19,281.63354
20,290.25043
21,217.99254
22,227.33585
23,229.37088
24,299.89233
25,265.78406
26,323.10565
27,267.72824
28,192.33344
29,140.2343
30,91.9539
31,74.897095
32,17.100529
33,44.984585
34,74.56213
35,109.29044
36,294.54514
37,372.1249
38,379.05716
39,321.7296
40,323.1059
41,328.5293
42,292.3575
43,297.0408
44,258.66803
45,246.31708
46,251.17754
47,308.4858
48,342.4445
49,329.53912
50,280.01874
51,211.47224
52,88.2631
53,189.51033
54,89.215256
55,50.61683
56,48.34238
57,53.224815
58,81.476456
59,116.614746
60,291.45865
61,438.88058
62,394.06033
63,342.98413
64,308.90436
65,265.75955
66,280.91785
67,251.17271
68,231.35918
69,262.93115
70,276.70657
71,296.07562
72,331.79922
73,324.97653
74,239.00868
75,224.89467
76,214.57008
77,133.07262
78,88.91335
79,71.027336
80,26.59241
81,51.510624
82,69.05735
83,109.05112
84,309.05948
85,435.2185
86,397.42578
87,304.23035
88,262.0348
89,249.40576
90,252.58513
91,278.8148
92,307.15445
93,254.4892
94,256.65686
95,268.7863
96,325.05344
97,305.0225
98,287.89835
99,259.6907
100,179.90286
101,120.02018
102,90.13864
103,66.58865
104,-0.1578666
105,51.90956
106,75.94446
107,76.08503
108,274.40665
109,246.08301
110,242.46945
111,261.4738
112,280.99393
113,285.10117
114,307.24075
115,313.9237
116,283.50717
117,247.67369
118,254.91782
119,284.4729
120,279.32443
121,269.12766
122,232.47864
123,119.6171
124,54.803253
125,50.393772
126,54.86107
127,26.426067
128,15.859023
129,17.549183
130,43.526592
131,61.672867
132,66.186165
133,75.23448
134,83.69568
135,119.70412
136,102.13133
137,216.89021
138,216.33188
139,222.10231
140,209.93166
141,223.05885
142,219.53781
143,236.91992
144,202.37335
145,211.19415
146,103.19596
147,66.35867
148,42.006645
149,53.14936
150,30.66105
151,50.977688
152,-4.1277857
153,55.333897
154,50.424286
155,271.91586
156,486.34695
157,366.00497
158,325.7391
159,269.73657
160,268.83386
161,201.29028
162,263.84894
163,249.91573
164,205.53642
165,207.62897
166,272.8492
167,284.4911
168,320.684
169,263.55002
170,203.29726
171,122.334114
172,97.77718
173,61.31979
174,66.58591
175,31.000717
176,23.80467
177,83.74646
178,117.68265
179,333.46545
180,429.63223
181,374.4171
182,325.98947
183,271.9534
184,236.47131
185,295.99142
186,241.30252
187,249.3517
188,221.29364
189,207.00201
190,266.7417
191,301.3792
192,345.72934
193,260.2544
194,199.06859
195,150.7268
196,89.539185
197,53.064175
198,70.31106
199,23.995436
200,40.78205
201,59.832314
202,115.1878
203,332.72137
204,433.7847
205,376.90393
206,310.08163
207,300.8459
208,237.76384
209,202.0423
210,300.1069
211,211.8069
212,191.0795
213,167.28877
214,288.1906
215,285.2436
216,312.83667
217,285.77258
218,207.03583
219,113.601425
220,147.47568
221,64.494316
222,27.954628
223,41.11669
224,47.586227
225,84.454
226,235.6157
227,476.1528
228,361.74625
229,315.30585
230,284.99017
231,249.79611
232,247.97154
233,289.68637
234,231.10983
235,168.13637
236,198.11313
237,283.7041
238,305.4867
239,341.1456
240,303.1525
241,240.79965
242,187.35672
243,139.4991
244,77.200386
245,72.75281
246,31.428377
247,27.404036
248,75.59106
249,110.72447
250,310.3854
251,347.99432
252,372.23056
253,320.3294
254,283.04434
255,285.01587
256,252.15868
257,278.83676
258,274.47665
259,261.93805
260,250.73485
261,266.9125
262,316.84238
263,318.84262
264,287.5784
265,243.30101
266,182.57416
267,121.09207
268,97.84466
269,86.8166
270,43.04147
271,36.843925
272,84.18391
273,93.36368
274,250.85457
275,237.14122
276,232.58583
277,278.73593
278,265.08893
279,284.2001
280,291.82156
281,301.64453
282,258.04886
283,218.5565
284,229.16032
285,255.00029
286,296.20374
287,265.33102
288,243.47551
289,121.02096
290,76.100494
291,62.365875
292,41.54927
293,2.9074779
294,35.275524
295,21.506138
296,48.046288
297,97.123856
298,122.098366
299,94.02629
300,110.1482
301,105.728424
302,188.92738
303,199.5882
304,191.29211
305,187.40804
306,180.0039
307,231.38232
308,249.59892
309,235.40865
310,233.74492
311,160.02678
312,76.79097
313,39.983444
314,51.29007
315,30.580677
316,47.676033
317,23.382126
318,12.957694
319,45.69159
320,72.56124
321,217.835
322,455.4267
323,352.20142
324,290.05374
325,256.54602
326,214.47461
327,164.53053
328,199.97299
329,213.68433
330,213.44296
331,196.97266
332,210.64522
333,244.6018
334,257.87466
335,253.36566
336,225.04187
337,162.91061
338,109.3194
339,53.181175
340,63.72063
341,44.38184
342,40.038456
343,85.53948
344,123.27561
345,292.1698
346,348.15292
347,328.2072
348,270.9184
349,244.64377
350,212.30934
351,247.51857
352,216.22534
353,142.21022
354,170.97212
355,227.4899
356,257.11536
357,337.46036
358,321.5893
359,300.2926
360,222.35751
361,117.217476
362,48.115948
363,56.562542
364,72.254616
365,35.71725
366,36.910816
367,46.805687
368,112.82579
369,286.85077
370,298.57907
371,297.8929
372,316.39764
373,274.125
374,250.95709
375,192.36414
376,238.7456
377,229.62628
378,215.43727
379,190.06192
380,153.81868
381,347.44296
382,284.5502
383,257.7437
384,174.16937
385,88.174286
386,70.65749
387,53.226646
388,83.11945
389,2.0970428
390,29.9371
391,55.77831
392,97.35452
393,251.02327
394,371.49414
395,345.15756
396,319.15723
397,285.2197
398,258.15042
399,238.06093
400,171.93732
401,99.10617
402,202.62881
403,154.27596
404,325.24588
405,281.62143
406,288.74744
407,246.79817
408,189.59756
409,99.38851
410,88.35067
411,34.597454
412,84.06698
413,16.452314
414,42.19638
415,41.56895
416,119.36238
417,295.7128
418,358.95712
419,327.3571
420,278.33194
421,246.56056
422,215.88857
423,155.78246
424,264.22156
425,264.04102
426,175.84946
427,163.16386
428,205.72476
429,257.66714
430,241.53036
431,205.85304
432,230.21298
433,211.52855
434,120.338356
435,64.72132
436,75.3486
437,20.71032
438,49.73668
439,64.49137
440,77.798935
441,147.50761
442,162.48485
443,162.68108
444,192.7207
445,162.45459
446,173.49275
447,175.73683
448,155.80751
449,122.69291
450,116.99748
451,146.48781
452,156.75894
453,139.0097
454,159.42781
455,137.61661
456,93.46507
457,52.177876
458,55.27031
459,31.272036
460,41.97503
461,0.9373852
462,12.501952
463,23.262072
464,44.67801
465,74.32199
466,77.48053
467,74.768135
468,75.67724
469,70.59548
470,59.33458
471,59.177174
472,67.80879
473,66.88216
474,65.40651
475,77.84114
476,72.14845
477,74.87347
478,60.0964
479,55.274837
480,79.24001
481,73.3628
482,54.807285
483,53.224957
484,23.732431
485,19.376753
486,29.304447
487,41.495255
488,85.999306
489,301.15417
490,399.3951
491,310.21365
492,278.78156
493,182.05818
494,134.37581
495,189.22832
496,224.31885
497,169.8936
498,192.9204
499,149.55043
500,133.73788
501,185.43549
502,288.9344
503,269.0237
504,199.01234
505,129.75449
506,64.18543
507,64.15883
508,86.93394
509,21.388872
510,33.43247
511,60.505924
512,148.68736
513,358.50314
514,377.30237
515,323.68848
516,277.33276
517,253.99254
518,237.48874
519,193.39189
520,215.3459
521,211.45282
522,170.32596
523,131.70364
524,214.39978
525,251.8458
526,275.84985
527,253.11388
528,191.07819
529,110.25245
530,77.00589
531,73.08432
532,58.488285
533,17.44929
534,33.447617
535,68.92076
536,112.82036
537,313.88394
538,364.10025
539,347.12756
540,316.99838
541,245.24074
542,248.34688
543,247.6866
544,161.7171
545,209.54504
546,170.85077
547,175.84103
548,241.25388
549,291.33444
550,238.14949
551,233.42418
552,172.36838
553,103.6436
554,65.11205
555,56.82347
556,60.196083
557,0.6510055
558,31.53623
559,75.41365
560,131.5805
561,338.3853
562,396.062
563,351.24173
564,349.25076
565,296.07172
566,250.42453
567,222.59784
568,272.1867
569,252.95757
570,258.4425
571,232.57718
572,265.08737
573,302.86908
574,289.61136
575,205.80199
576,121.4149
577,125.23303
578,158.91145
579,48.872974
580,49.940144
581,35.305542
582,43.266552
583,81.4578
584,116.40426
585,362.18817
586,382.48257
587,362.42828
588,319.8191
589,252.71658
590,236.42853
591,253.367
592,270.22208
593,270.9538
594,219.87985
595,240.99173
596,232.10475
597,249.39688
598,240.81715
599,252.2906
600,242.18686
601,155.80943
602,88.06899
603,37.75026
604,101.37021
605,39.599834
606,33.851406
607,46.7589
608,95.41973
609,207.09494
610,184.47789
611,181.83609
612,167.80893
613,193.16318
614,182.99066
615,181.94492
616,176.81819
617,164.5685
618,154.20644
619,137.28534
620,179.46205
621,162.36159
622,162.20325
623,112.35492
624,81.32683
625,50.478176
626,38.206303
627,43.999813
628,40.075577
629,-8.52048
630,26.147432
631,80.942665
632,138.14519
633,110.909645
634,106.42588
635,76.56123
636,92.33416
637,77.50103
638,58.709778
639,90.06699
640,66.24169
641,85.36232
642,84.09279
643,100.87958
644,81.697205
645,59.84954
646,76.06648
647,52.551113
648,69.77796
649,45.281178
650,54.014877
651,3.9930136
652,13.23077
653,62.007504
654,76.54757
655,285.2461
656,458.59906
657,347.7867
658,308.74136
659,240.35626
660,160.48598
661,133.88947
662,260.2995
663,194.2837
664,137.181
665,121.877014
666,80.84412
667,321.5667
668,244.14389
669,289.91592
670,224.59459
671,116.06038
672,63.774628
673,31.975843
674,30.882652
675,28.926716
676,45.385582
677,89.70562
678,297.4635
679,450.86243
680,380.52832
681,323.2178
682,261.25955
683,270.20462
684,291.93484
685,271.6966
686,253.94852
687,212.2394
688,172.01842
689,248.83913
690,329.36475
691,305.44708
692,299.51163
693,232.27614
694,129.55533
695,83.31526
696,46.47753
697,71.296135
698,33.48801
699,17.38769
700,65.869255
701,107.842964
702,311.36154
703,383.8459
704,347.9735
705,349.15182
706,317.41214
